Date,Shares,Bitcoin per Share
04/06/2020,376727000,0.00096117
05/06/2020,377529400,0.00096112
06/06/2020,378088800,0.00096107
07/06/2020,378088800,0.00096107
08/06/2020,378700600,0.00096091
09/06/2020,379959400,0.00096086
10/06/2020,380090300,0.0009608
11/06/2020,380829900,0.00096075
12/06/2020,380856700,0.0009607
13/06/2020,380856700,0.0009607
14/06/2020,380856700,0.0009607
15/06/2020,381193400,0.00096054
16/06/2020,382238700,0.00096049
17/06/2020,383943600,0.00096043
18/06/2020,384055300,0.00096038
19/06/2020,386400500,0.00096033
20/06/2020,386400500,0.00096033
21/06/2020,386400500,0.00096033
22/06/2020,391124600,0.00096017
23/06/2020,391625800,0.00096012
24/06/2020,402941400,0.00096007
25/06/2020,402941400,0.00096001
26/06/2020,402941400,0.00095996
27/06/2020,402941400,0.00095996
28/06/2020,402941400,0.00095996
29/06/2020,402941400,0.0009598
30/06/2020,402941400,0.00095975
01/07/2020,402941400,0.0009597
03/07/2020,402941400,0.00095965
02/07/2020,402941400,0.00095965
